tag,stem,mode,observable,phase,n_steps,slope_true_per_s,slope_pred_per_s,slope_naive_per_s
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,next_frame,mean,positive_current,511,-1.996702514507647e-05,-1.9973738871457676e-05,-1.9835324867848408e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,next_frame,mean,negative_current,2438,4.375683031457783e-05,4.375244396967231e-05,4.373526945865347e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,next_frame,p95,positive_current,511,-1.2962546148429928e-05,-1.3155174630783408e-05,-1.2920130688994267e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,next_frame,p95,negative_current,2438,6.419664538425853e-05,6.422351749720481e-05,6.417358680156727e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,next_frame,bright_frac90,positive_current,511,-2.044444984678814e-06,-2.047216957714132e-06,-2.0313614031843724e-06
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,next_frame,bright_frac90,negative_current,2438,1.4851539020030262e-05,1.488695740093554e-05,1.485057496723625e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,next_frame,mean,positive_current,511,-2.0026451056343203e-05,-1.9961366780969624e-05,-1.9867175950884726e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,next_frame,mean,negative_current,2438,4.067485856519537e-05,4.065781224606418e-05,4.065865344097267e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,next_frame,p95,positive_current,511,-1.1738809591846516e-05,-1.2407932477984463e-05,-1.179225893848736e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,next_frame,p95,negative_current,2438,6.605292083484213e-05,6.60770066883718e-05,6.604180059351031e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,next_frame,bright_frac90,positive_current,511,-3.3348023656179184e-06,-3.335790770249394e-06,-3.3186779368776486e-06
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,next_frame,bright_frac90,negative_current,2438,1.2801610168564676e-05,1.2819742117948525e-05,1.2800472338084111e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,next_frame,mean,positive_current,511,-3.2864755382220996e-05,-3.276743428862515e-05,-3.268168609922487e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,next_frame,mean,negative_current,2438,3.552622182790272e-05,3.551883073461324e-05,3.5509250746936345e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,next_frame,p95,positive_current,511,-3.437143730079904e-05,-3.407773063041279e-05,-3.398275132352971e-05
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,next_frame,p95,negative_current,2438,7.96740355193255e-05,7.969287952515145e-05,7.963806696279341e-05
