active_fields,context_len,first_step_mae_ratio,is_smoke,last_step_mae_ratio,mae_ratio,mode,model_family,model_mae,model_rmse,naive_mae,naive_rmse,nonreversal_count,nonreversal_mae_ratio,prediction_form,reversal_count,reversal_mae_ratio,rmse_ratio,role,sequence_subsample_factor,stem,tag,window_stride
intensity,4,,false,,0.8229162806017267,next_frame,convlstm,0.008416249416768551,0.019637729550084748,0.010227345861494541,0.0214251853006726,2989,0.8229025922583585,delta_from_last_frame,11,0.8263120766499339,0.9165722151055683,test,1,GRA29_C20_45deg_particle1,image_only_delta,1
intensity,4,,false,,0.8420381915361015,next_frame,convlstm,0.009062005206942558,0.026543896003130844,0.0107619883492589,0.028179025914321157,2989,0.8420910333774968,delta_from_last_frame,11,0.8290829963893079,0.9419735119247218,test,1,GRA29_C20_45deg_particle2,image_only_delta,1
intensity,4,,false,,0.8149309682279859,next_frame,convlstm,0.010521430522203445,0.034889091893533564,0.01291082426905632,0.037369581270677875,2989,0.8149351237274669,delta_from_last_frame,11,0.8138981442066182,0.9336227676950014,test,1,GRA29_C20_45deg_particle3,image_only_delta,1
intensity,4,,false,,0.8374240373348227,next_frame,convlstm,0.012380384840071201,0.03813016750196685,0.01478388998657465,0.04022971706140014,2989,0.8372666185253378,delta_from_last_frame,11,0.8774122976794927,0.9478109787292593,test,1,GRA29_C20_45deg_particle4,image_only_delta,1
intensity,4,,false,,0.7874669540869271,next_frame,convlstm,0.00786101445555687,0.011346936766299867,0.009982659481465816,0.014005393854705325,2989,0.787495593340633,delta_from_last_frame,11,0.7813253252705337,0.810183339648652,train,1,GRA29_C20_25deg_particle1,image_only_delta,1
intensity,4,,false,,0.7888480456240433,next_frame,convlstm,0.008612259291112423,0.01262680007520236,0.010917513631284237,0.01588178461046949,2989,0.788802460272091,delta_from_last_frame,11,0.7993876225402146,0.795049195345377,train,1,GRA29_C20_25deg_particle2,image_only_delta,1
intensity,4,,false,,0.7972298057473741,next_frame,convlstm,0.009736823849380016,0.014616225010959478,0.012213321402668953,0.01765184870072381,2989,0.7972879289735881,delta_from_last_frame,11,0.7845745744492806,0.8280280019825993,train,1,GRA29_C20_25deg_particle3,image_only_delta,1
intensity,4,,false,,0.8162864801592848,next_frame,convlstm,0.010849402286112309,0.016045763062769763,0.01329116988927126,0.018904409607165787,2989,0.816300413559826,delta_from_last_frame,11,0.8131135942919152,0.8487841406423798,train,1,GRA29_C20_25deg_particle4,image_only_delta,1
intensity,4,0.7653527855873108,false,16.325517654418945,2.907823593705107,rollout,convlstm,1.0239945650100708,1.5058346757458838,0.3521515429019928,0.7988000319188149,5672,2.914437605028931,delta_from_last_frame,11,1.5036847292678464,1.8851209508951643,test,1,GRA29_C20_45deg_particle1,image_only_delta,
intensity,4,0.7696812748908997,false,7.620572090148926,2.805643347227558,rollout,convlstm,1.1171112060546875,1.582484352311668,0.3981657922267914,0.8105121651077161,5672,2.8105350558656284,delta_from_last_frame,11,1.7362517163936377,1.9524498464515432,test,1,GRA29_C20_45deg_particle2,image_only_delta,
intensity,4,0.7738311886787415,false,6.223944664001465,2.9739313694048657,rollout,convlstm,1.0988121032714844,1.6305941611634729,0.36948132514953613,0.7946133401449436,5672,2.9796823740145393,delta_from_last_frame,11,1.665110791419084,2.0520598872226836,test,1,GRA29_C20_45deg_particle3,image_only_delta,
intensity,4,0.7797812819480896,false,4.904623985290527,3.3385161219300237,rollout,convlstm,0.9824408888816833,1.4943128698460946,0.2942747175693512,0.7258944978429002,5672,3.3461986560408694,delta_from_last_frame,11,1.716577952749882,2.058581342449433,test,1,GRA29_C20_45deg_particle4,image_only_delta,
intensity,4,0.7490764856338501,false,70.4119873046875,3.098665058649942,rollout,convlstm,1.0900863409042358,1.558460660142381,0.35179224610328674,0.8120804216839295,5318,3.1066148706288597,delta_from_last_frame,11,1.5227144818358571,1.9190964571104396,train,1,GRA29_C20_25deg_particle1,image_only_delta,
intensity,4,0.7641218900680542,false,68.96724700927734,3.0926814162594454,rollout,convlstm,0.9607804417610168,1.4627712389483554,0.3106625974178314,0.7920822675585077,5318,3.09960357861732,delta_from_last_frame,11,1.7337770588133705,1.846741555592654,train,1,GRA29_C20_25deg_particle2,image_only_delta,
intensity,4,0.7603206634521484,false,62.958797454833984,2.8989277370224302,rollout,convlstm,0.9512777924537659,1.4588085308606864,0.32814815640449524,0.7953347673277972,5318,2.9057856442918797,delta_from_last_frame,11,1.5319666195217716,1.8342069161166679,train,1,GRA29_C20_25deg_particle3,image_only_delta,
intensity,4,0.7720454335212708,false,58.81541061401367,3.0384937164885235,rollout,convlstm,0.9162260890007019,1.4289370375497634,0.3015395700931549,0.7407127585909675,5318,3.045462210390793,delta_from_last_frame,11,1.6776373801482023,1.9291378756158883,train,1,GRA29_C20_25deg_particle4,image_only_delta,
intensity,4,,false,,0.8640944261951137,next_frame,convlstm,0.008837392553687096,0.020490514891003033,0.010227345861494541,0.0214251853006726,2989,0.8641265332441984,direct_next_frame,11,0.8560443533341908,0.9563751539810381,test,1,GRA29_C20_45deg_particle1,image_only_direct,1
